ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings,t_date,fwd_1,fwd_5,fwd_20
RELIANCE.NS,Q4FY26,2026-03-31,2026-04-01,0.3937,-0.23,0.0,0.0,38,screener.in (BSE transcript),0.1442,2026-04-01,0.0014738611275078028,-0.01473833199544805,0.05630070616129057
TCS.NS,Q4FY26,2026-03-31,2026-04-01,0.5589,0.2979,0.0,0.0,21,screener.in (BSE transcript),0.4545,2026-04-01,0.036881835488332015,0.07535625618444475,0.045264038444573274
INFY.NS,Q4FY26,2026-03-31,2026-04-01,0.0888,-0.1719,0.0,0.0,39,screener.in (BSE transcript),-0.0155,2026-04-01,0.03285715855753146,0.04603172777065501,-0.051587337789262944
RELIANCE.NS,Q3FY26,2025-12-31,2026-01-01,0.4993,-0.034,0.0,0.0,43,screener.in (BSE transcript),0.286,2026-01-01,0.008227818948506993,-0.07278482104112682,-0.1518987377566714
TCS.NS,Q3FY26,2025-12-31,2026-01-01,0.6124,0.1943,0.0,0.0,17,screener.in (BSE transcript),0.4452,2026-01-01,0.002009864745839085,-0.013296232129906382,0.006844841992937445
HDFCBANK.NS,Q3FY26,2025-12-31,2026-01-01,0.2425,-0.0563,0.0,0.0,23,screener.in (BSE transcript),0.123,2026-01-01,0.014730376429931136,-0.04656206595950996,-0.0768299770988311
INFY.NS,Q3FY26,2025-12-31,2026-02-01,0.035,0.2,0.0,0.0,65,screener.in (BSE transcript),0.101,2026-02-01,0.03922985374131649,-0.08417568746662962,-0.22322502965790947
ICICIBANK.NS,Q3FY26,2025-12-31,2026-01-01,0.3072,-0.0171,0.0,0.0,32,screener.in (BSE transcript),0.1775,2026-01-01,0.012107586825018668,0.06659191000443765,-0.006053793412509334
HINDUNILVR.NS,Q3FY26,2025-12-31,2026-02-01,0.4474,0.1357,0.0,0.0,27,screener.in (BSE transcript),0.3227,2026-02-01,0.014388147321767963,0.02924326165879454,-0.02253724579678207
SBIN.NS,Q3FY26,2025-12-31,2026-02-01,0.4144,0.1908,0.0,0.0,27,screener.in (BSE transcript),0.325,2026-02-01,0.06579069556241013,0.09814678907890806,0.16187859179799235
BHARTIARTL.NS,Q3FY26,2025-12-31,2026-02-01,0.4005,-0.3273,0.0,0.0,33,screener.in (BSE transcript),0.1094,2026-02-01,0.05882961926054042,0.05944939674466143,-0.04441919378361292
KOTAKBANK.NS,Q3FY26,2025-12-31,2026-01-01,0.5775,0.248,0.0,0.0,29,screener.in (BSE transcript),0.4457,2026-01-01,-0.009423736808522931,-0.038236070764784746,-0.07859136428766333
LT.NS,Q3FY26,2025-12-31,2026-01-01,0.4218,-0.2041,0.0,0.0,23,screener.in (BSE transcript),0.1715,2026-01-01,0.005992977918480635,-0.02636480868521751,-0.07428533376585034
AXISBANK.NS,Q3FY26,2025-12-31,2026-01-01,0.2788,-0.0748,0.0,0.0,26,screener.in (BSE transcript),0.1374,2026-01-01,0.0002354397928130414,0.010126402517337318,0.05110289217231201
BAJFINANCE.NS,Q3FY26,2025-12-31,2026-02-01,0.1968,-0.1748,0.0,0.0,21,screener.in (BSE transcript),0.0482,2026-02-01,0.08229988726042836,0.11386696730552415,0.09470124013528758
ASIANPAINT.NS,Q3FY26,2025-12-31,2026-02-01,0.3141,0.0939,0.0,0.0,22,screener.in (BSE transcript),0.226,2026-02-01,0.06320265581932216,0.012253143221602869,-0.03153817402600312
HCLTECH.NS,Q3FY26,2025-12-31,2026-01-01,0.5981,0.3086,0.0,0.0,17,screener.in (BSE transcript),0.4823,2026-01-01,-0.004289245831552324,0.009252362816370319,0.030697105773572764
SUNPHARMA.NS,Q3FY26,2025-12-31,2026-02-01,0.2703,0.1799,0.0,0.0,19,screener.in (BSE transcript),0.2342,2026-02-01,0.04645043941241034,0.051276798895623754,0.054541472549710424
TITAN.NS,Q3FY26,2025-12-31,2026-02-01,0.0858,-0.181,0.0,0.0,21,screener.in (BSE transcript),-0.0209,2026-02-01,0.03574999999999995,0.05005004882812503,0.07219995117187494
WIPRO.NS,Q3FY26,2025-12-31,2026-01-01,0.3694,-0.1158,0.0,0.0,8,screener.in (BSE transcript),0.1753,2026-01-01,0.007854919260942061,-0.022442445867555172,-0.06377600533929317
ULTRACEMCO.NS,Q3FY26,2025-12-31,2026-01-01,0.3172,-0.0605,0.0,0.0,16,screener.in (BSE transcript),0.1661,2026-01-01,0.002352348147525829,0.013021927245232323,0.04007393094177947
