window,ticker,n_sent,n_news,sent,news_lm,news_fb,combined_lm,combined_fb,ret_resid,agg_sent,agg_news
jan-A,RELIANCE.NS,13,10,-0.7277078124051157,-0.3199392071962277,-0.5171165476396823,-0.5238235098006717,-0.622412180022399,-0.013620127053175,-0.7277,-0.3199
jan-A,TCS.NS,8,8,-0.11005197282441806,-0.0955596268170282,-0.19696251574169193,-0.10280579982072313,-0.153507244283055,-0.0117081623488725,-0.1101,-0.0956
jan-A,HDFCBANK.NS,10,9,-0.6875553439345264,-0.08287823444023246,-0.48563569203663925,-0.38521678918737945,-0.5865955179855828,-0.0094431214076824,-0.6876,-0.0829
jan-A,INFY.NS,8,7,-0.4998835645672217,-0.2831659125962446,-0.2813601090569781,-0.39152473858173314,-0.39062183681209994,0.0052744739602138,-0.4999,-0.2832
jan-A,ICICIBANK.NS,7,7,0.11031554848734108,-0.11322177658075325,0.05308588490062977,-0.0014531140467060819,0.08170071669398543,0.0065813727543272,0.1103,-0.1132
jan-A,HINDUNILVR.NS,8,7,-0.5914755088352349,-0.11322177658075325,-0.2864141054547506,-0.3523486427079941,-0.43894480714499273,-0.0190710669054635,-0.5915,-0.1132
jan-A,ITC.NS,9,8,-0.5497840956893241,-0.2064125029430869,-0.38752710073670843,-0.3780982993162055,-0.4686555982130163,-0.0079553143957527,-0.5498,-0.2064
jan-A,SBIN.NS,10,9,0.6097247492190534,-0.16580838769674897,0.2748931463047659,0.2219581807611522,0.44230894776190965,0.0158336889262457,0.6097,-0.1658
jan-A,BHARTIARTL.NS,6,6,-0.2618973381311759,-0.14077054157142724,-0.15441815139971496,-0.20133393985130155,-0.2081577447654454,-0.0076878720684229,-0.2619,-0.1408
jan-A,KOTAKBANK.NS,7,7,0.01433429985010377,-0.11744141417734569,0.014441548170914505,-0.05155355716362096,0.014387924010509139,-0.0104351218183487,0.0143,-0.1174
jan-A,LT.NS,7,7,-0.6345716828940522,-0.1275984753145974,-0.0646816874298729,-0.38108507910432476,-0.34962668516196255,-0.0352881911258428,-0.6346,-0.1276
jan-A,AXISBANK.NS,7,6,-0.039456629781334185,-0.14077054157142724,-0.15441815139971496,-0.09011358567638071,-0.09693739059052457,0.0221370276715295,-0.0395,-0.1408
jan-A,BAJFINANCE.NS,8,8,-0.5005413694369294,0.06164943473402131,-0.38441586902045244,-0.21944596735145405,-0.4424786192286909,-0.003419950315497,-0.5005,0.0616
jan-A,ASIANPAINT.NS,7,6,-0.35104387255130975,-0.14077054157142724,-0.15441815139971496,-0.24590720706136848,-0.25273101197551234,-0.0256528815298407,-0.351,-0.1408
jan-A,MARUTI.NS,7,7,0.0597906194126836,-0.11472530089913617,0.04549835804771876,-0.027467340743226286,0.05264448873020118,-0.0231010142750596,0.0598,-0.1147
jan-A,HCLTECH.NS,9,8,0.35194524813432765,0.18393926155896964,0.07721289736695917,0.26794225484664863,0.21457907275064342,0.0033704715241033,0.3519,0.1839
jan-A,SUNPHARMA.NS,7,6,0.1760793127463564,-0.14077054157142724,-0.15441815139971496,0.017654385587464586,0.010830580673320725,-0.0175033629778517,0.1761,-0.1408
jan-A,TITAN.NS,14,11,0.4103654129100561,-0.07206149946129749,0.3171516591190325,0.16915195672437933,0.36375853601454433,0.0004438918610972,0.4104,-0.0721
jan-A,WIPRO.NS,6,6,-0.2618973381311759,-0.14077054157142724,-0.15441815139971496,-0.20133393985130155,-0.2081577447654454,-0.0081916371714298,-0.2619,-0.1408
jan-A,ULTRACEMCO.NS,9,9,-0.48338582812462205,-0.3697826089095815,-0.26469462910138386,-0.42658421851710177,-0.37404022861300296,0.0158080705579883,-0.4834,-0.3698
jan-A,NESTLEIND.NS,8,7,0.02818724023054492,-0.11165348598596417,0.06545710273473473,-0.041733122877709625,0.04682217148263983,-0.0012077360268083,0.0282,-0.1117
jan-A,ONGC.NS,10,9,-0.47402880522049273,-0.22439194675696533,-0.2984856583529256,-0.34921037598872906,-0.3862572317867092,0.0559467924246367,-0.474,-0.2244
