ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings,t_date,qkey,surprise_finbert,surprise_agg,fwd_1,fwd_5,fwd_20
ADANIENT.NS,Q2FY25,2024-09-30,2024-10-01,0.2802,-0.0204,0,0,11,screener.in (BSE transcript),0.16,2024-10-01,"(25, 2)",-0.024399999999999977,0.024900000000000005,-0.009555559062894736,-0.0031746338514635486,-0.05780957243023588
ADANIENT.NS,Q3FY25,2024-12-31,2025-01-01,0.2586,-0.3699,0,0,14,screener.in (BSE transcript),0.0072,2025-01-01,"(25, 3)",-0.021600000000000008,-0.1528,0.0055735718953640045,-0.018981188017622164,-0.093814516975667
ADANIENT.NS,Q4FY25,2025-03-31,2025-05-01,0.2823,-0.1887,0,0,9,screener.in (BSE transcript),0.0939,2025-05-01,"(25, 4)",0.0237,0.0867,-0.01587297261415066,-0.04676787012895367,0.08515261958164566
ADANIENT.NS,Q2FY26,2025-09-30,2025-11-01,0.1436,-0.322,0,0,11,screener.in (BSE transcript),-0.0427,2025-11-01,"(26, 2)",-0.1387,-0.1366,-0.0016908421583262667,-0.07578872269002268,-0.09219004282924614
ADANIENT.NS,Q3FY26,2025-12-31,2026-02-01,0.2258,-0.3214,0,0,10,screener.in (BSE transcript),0.0069,2026-02-01,"(26, 3)",0.0822,0.049600000000000005,0.0988449209536546,0.14995398102535473,0.0697127798478312
ADANIENT.NS,Q4FY26,2026-03-31,2026-04-01,0.0904,-0.4711,0,0,12,screener.in (BSE transcript),-0.1342,2026-04-01,"(26, 4)",-0.13540000000000002,-0.1411,0.017673140307615576,0.13191132845519604,0.3243212846042749
ADANIPORTS.NS,Q2FY25,2024-09-30,2024-10-01,0.251,-0.2565,0,0,19,screener.in (BSE transcript),0.048,2024-10-01,"(25, 2)",0.018100000000000005,-0.0039000000000000007,-0.01923938899419464,-0.0246085017627361,-0.03083813323169582
ADANIPORTS.NS,Q3FY25,2024-12-31,2025-02-01,0.229,-0.403,0,0,20,screener.in (BSE transcript),-0.0238,2025-02-01,"(25, 3)",-0.021999999999999992,-0.0718,0.014760091497886485,0.06088555382686245,-0.033256531521616894
ADANIPORTS.NS,Q4FY25,2025-03-31,2025-05-01,0.2625,0.0132,0,0,22,screener.in (BSE transcript),0.1628,2025-05-01,"(25, 4)",0.0335,0.1866,0.027888502520357905,0.03585661828071429,0.1490039636159286
ADANIPORTS.NS,Q2FY26,2025-09-30,2025-11-01,0.3563,-0.0468,0,0,21,screener.in (BSE transcript),0.1951,2025-11-01,"(26, 2)",0.0938,0.032299999999999995,-0.0013089491656115282,0.0010334214461682478,0.0527730194630498
