id,scope,source,date,pos_prob,neg_prob,neu_prob,sent,news,pos_count,neg_count
57379793b3,ONGC.NS,scanx.trade (via gnews-rss),2026-02-28,0.0211,0.0606,0.9183,-0.0396,0.0,0,0
e007eebf54,NTPC.NS,scanx.trade (via gnews-rss),2026-02-28,0.0583,0.9259,0.0157,-0.8676,-1.0,0,2
43510066de,POWERGRID.NS,scanx.trade (via gnews-rss),2026-02-28,0.0721,0.8718,0.0561,-0.7997,0.0,0,0
63cdb6373d,TATASTEEL.NS,Goodreturns (via gnews-rss),2026-02-28,0.0944,0.0123,0.8934,0.0821,0.0,0,0
c53c2f3804,MACRO,The Economic Times (via gnews-rss),2026-02-28,0.0359,0.0301,0.934,0.0059,-1.0,0,2
b246dcb1fc,HDFCBANK.NS,Moneycontrol.com (via gnews-rss),2026-02-27,0.0092,0.9491,0.0417,-0.9398,-1.0,0,4
ebdf507e3e,ITC.NS,Business Standard (via gnews-rss),2026-02-27,0.0065,0.9677,0.0258,-0.9612,0.0,0,0
96702ebc65,BHARTIARTL.NS,Business Standard (via gnews-rss),2026-02-27,0.008,0.9626,0.0294,-0.9546,0.0,0,0
fe7235ed42,AXISBANK.NS,News18 (via gnews-rss),2026-02-27,0.0425,0.0177,0.9398,0.0247,0.0,0,0
b5503530e4,AXISBANK.NS,Business Standard (via gnews-rss),2026-02-27,0.0526,0.0161,0.9313,0.0365,0.0,0,0
5d31ba8bad,ASIANPAINT.NS,Equitymaster (via gnews-rss),2026-02-27,0.0119,0.9543,0.0339,-0.9424,0.0,0,0
76ff6d21bb,MARUTI.NS,Investing.com India (via gnews-rss),2026-02-27,0.0075,0.9677,0.0248,-0.9602,0.0,0,0
d8eb4e96a6,WIPRO.NS,Mint (via gnews-rss),2026-02-27,0.0198,0.9388,0.0414,-0.919,-1.0,0,2
7667a70278,NESTLEIND.NS,Business Standard (via gnews-rss),2026-02-27,0.0796,0.6657,0.2547,-0.5861,-1.0,0,2
f1d3b9fdb4,ONGC.NS,Business Standard (via gnews-rss),2026-02-27,0.5622,0.0123,0.4255,0.5498,1.0,2,0
ef089e7948,NTPC.NS,The Times of India (via gnews-rss),2026-02-27,0.0222,0.1839,0.7939,-0.1617,0.0,0,0
e123c82a8d,TATAMOTORS.NS,Business Standard (via gnews-rss),2026-02-27,0.6222,0.0164,0.3614,0.6059,0.0,0,0
bb60b050de,TATASTEEL.NS,Business Standard (via gnews-rss),2026-02-27,0.0463,0.016,0.9377,0.0302,-1.0,0,2
fbcfd7f8da,HINDALCO.NS,Moneycontrol.com (via gnews-rss),2026-02-27,0.0367,0.0204,0.9429,0.0162,0.0,0,0
24264624d6,DRREDDY.NS,Business Standard (via gnews-rss),2026-02-27,0.9239,0.0114,0.0647,0.9125,0.0,0,0
ac631797c5,EICHERMOT.NS,Moneycontrol.com (via gnews-rss),2026-02-27,0.0354,0.0176,0.947,0.0179,0.0,0,0
b489471225,BAJAJ-AUTO.NS,Business Standard (via gnews-rss),2026-02-27,0.01,0.9586,0.0314,-0.9485,-1.0,0,2
25ff4731e1,TECHM.NS,The Hindu (via gnews-rss),2026-02-27,0.0101,0.9681,0.0217,-0.958,-1.0,0,4
ba84715285,INDUSINDBK.NS,Mint (via gnews-rss),2026-02-27,0.0594,0.0138,0.9268,0.0456,0.0,0,0
e104597db3,INDUSINDBK.NS,Business Today (via gnews-rss),2026-02-27,0.0501,0.0148,0.935,0.0353,0.0,0,0
1609770718,LTIM.NS,scanx.trade (via gnews-rss),2026-02-27,0.1089,0.0322,0.8589,0.0766,1.0,2,0
09ad2563b7,SHRIRAMFIN.NS,The Economic Times (via gnews-rss),2026-02-27,0.0416,0.0149,0.9435,0.0266,0.0,0,0
b3dc1c7af7,SHRIRAMFIN.NS,scanx.trade (via gnews-rss),2026-02-27,0.0372,0.2482,0.7146,-0.211,-1.0,0,2
11fee55fed,BPCL.NS,Business Standard (via gnews-rss),2026-02-27,0.9132,0.0135,0.0733,0.8996,0.0,0,0
f20f79b21d,BPCL.NS,NDTV Profit (via gnews-rss),2026-02-27,0.0682,0.0221,0.9097,0.0461,1.0,2,0
d3b5c89312,BPCL.NS,Business Standard (via gnews-rss),2026-02-27,0.0581,0.011,0.931,0.0471,0.0,0,0
f7631b2884,HDFCBANK.NS,MillenniumPost (via gnews-rss),2026-02-26,0.0097,0.9713,0.0191,-0.9616,-1.0,0,2
e1acf63eff,HDFCBANK.NS,Moneycontrol.com (via gnews-rss),2026-02-26,0.0308,0.8497,0.1195,-0.8189,-1.0,0,2
6a1130dee0,MARUTI.NS,Upstox (via gnews-rss),2026-02-26,0.0194,0.95,0.0306,-0.9305,0.0,0,0
112a0eff07,HCLTECH.NS,Moneycontrol.com (via gnews-rss),2026-02-26,0.8877,0.0278,0.0845,0.8598,1.0,2,0
6be9c604cb,SUNPHARMA.NS,Business Standard (via gnews-rss),2026-02-26,0.9108,0.0241,0.0651,0.8868,0.0,0,0
f0b0277fc5,NTPC.NS,CNBC TV18 (via gnews-rss),2026-02-26,0.332,0.0121,0.6559,0.3199,0.0,0,0
