id,scope,source,date,pos_prob,neg_prob,neu_prob,sent,news,pos_count,neg_count
b6cc26f47b,LT.NS,simplywall.st (via gnews-rss),2026-01-31,0.0652,0.0297,0.9051,0.0354,-1.0,0,2
9235bfe579,HCLTECH.NS,simplywall.st (via gnews-rss),2026-01-31,0.0201,0.2026,0.7773,-0.1825,-1.0,0,2
0d039fa9ed,WIPRO.NS,scanx.trade (via gnews-rss),2026-01-31,0.0237,0.0221,0.9542,0.0016,0.0,0,0
475a85769a,NTPC.NS,simplywall.st (via gnews-rss),2026-01-31,0.1168,0.0171,0.8661,0.0998,0.0,2,2
f49046dbd3,ICICIBANK.NS,simplywall.st (via gnews-rss),2026-01-30,0.9374,0.012,0.0507,0.9254,0.0,0,0
5b396d144b,BHARTIARTL.NS,Business Standard (via gnews-rss),2026-01-30,0.0224,0.0831,0.8945,-0.0606,0.0,0,0
0c2fb7bda7,BAJFINANCE.NS,Upstox (via gnews-rss),2026-01-30,0.0079,0.9363,0.0558,-0.9285,0.0,0,0
c5b9f850f6,SUNPHARMA.NS,simplywall.st (via gnews-rss),2026-01-30,0.0675,0.0171,0.9154,0.0504,-1.0,0,4
e592774ad9,NESTLEIND.NS,Upstox (via gnews-rss),2026-01-30,0.9518,0.023,0.0251,0.9288,1.0,2,0
2b364f40d7,NESTLEIND.NS,Investing.com India (via gnews-rss),2026-01-30,0.0075,0.9664,0.026,-0.9589,0.0,0,0
9e70ad4d5c,NESTLEIND.NS,The Economic Times (via gnews-rss),2026-01-30,0.7271,0.0476,0.2253,0.6796,1.0,2,0
2cf7d68ca5,NTPC.NS,India Infoline (via gnews-rss),2026-01-30,0.0232,0.942,0.0348,-0.9188,1.0,2,0
0f6c4674c3,NTPC.NS,The Economic Times (via gnews-rss),2026-01-30,0.9298,0.0236,0.0466,0.9062,0.0,0,0
ab423abaed,POWERGRID.NS,scanx.trade (via gnews-rss),2026-01-30,0.936,0.0212,0.0428,0.9148,0.0,0,0
12c6853fc7,POWERGRID.NS,scanx.trade (via gnews-rss),2026-01-30,0.1262,0.0448,0.8289,0.0814,-1.0,0,4
