id,scope,source,date,pos_prob,neg_prob,neu_prob,sent,news,pos_count,neg_count
13b3545318,RELIANCE.NS,simplywall.st (via gnews-rss),2026-05-31,0.0654,0.0129,0.9217,0.0526,-1.0,0,2
5b97387be7,ASIANPAINT.NS,Upstox (via gnews-rss),2026-05-31,0.0564,0.0181,0.9255,0.0383,0.0,0,0
ce3d0b83ab,NTPC.NS,simplywall.st (via gnews-rss),2026-05-31,0.0461,0.0181,0.9358,0.0279,-1.0,0,2
157d55d1bd,MACRO,BFSI News (via gnews-rss),2026-05-31,0.0749,0.023,0.9021,0.0519,0.0,0,0
082ce4d5b6,MACRO,Mint (via gnews-rss),2026-05-31,0.0222,0.0518,0.926,-0.0297,0.0,0,0
2e0f57156b,MACRO,CNBC TV18 (via gnews-rss),2026-05-31,0.1095,0.018,0.8724,0.0915,0.0,0,0
9331f91fdc,MACRO,Moneycontrol.com (via gnews-rss),2026-05-31,0.0567,0.0193,0.924,0.0374,0.0,0,0
9d90151f6f,MACRO,BusinessLine (via gnews-rss),2026-05-31,0.0451,0.02,0.9349,0.0252,0.0,0,0
0c2da3c0be,BHARTIARTL.NS,scanx.trade (via gnews-rss),2026-05-30,0.0504,0.0128,0.9368,0.0376,0.0,0,0
d152f55c92,NTPC.NS,scanx.trade (via gnews-rss),2026-05-30,0.0225,0.0215,0.956,0.001,0.0,0,0
85c4fd90b9,HINDALCO.NS,simplywall.st (via gnews-rss),2026-05-30,0.373,0.0085,0.6185,0.3645,0.0,0,0
602be965ce,DRREDDY.NS,scanx.trade (via gnews-rss),2026-05-30,0.0178,0.0393,0.9429,-0.0215,0.0,0,0
975d1fd42a,DIVISLAB.NS,scanx.trade (via gnews-rss),2026-05-30,0.9455,0.0262,0.0282,0.9193,1.0,2,0
7fa3ce8667,APOLLOHOSP.NS,scanx.trade (via gnews-rss),2026-05-30,0.0171,0.623,0.36,-0.6059,-1.0,0,2
f1dcc993d0,SBILIFE.NS,scanx.trade (via gnews-rss),2026-05-30,0.0181,0.0335,0.9483,-0.0154,0.0,0,0
e5338510fb,INFY.NS,Moneycontrol.com (via gnews-rss),2026-05-29,0.8143,0.0192,0.1666,0.7951,0.0,0,0
96f6a360b7,ITC.NS,Business Standard (via gnews-rss),2026-05-29,0.0096,0.972,0.0184,-0.9624,0.0,0,0
dec574be43,SBIN.NS,scanx.trade (via gnews-rss),2026-05-29,0.0237,0.0324,0.9439,-0.0087,0.0,0,0
