date,ticker,agg_sent,agg_news,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-01-12,RELIANCE.NS,-0.7277,-0.3199,13,10,-0.8793,-0.4545,-0.6819,0.057,False,-0.5238,0.2414,-0.0164508459827951,-0.0601356185670878,jan-A,-0.013620127053175,-0.3706375
2026-01-12,TCS.NS,-0.1101,-0.0956,8,8,-0.8578,0.5961,-0.4704,0.2636,False,-0.10285,0.3758,-0.0145388812784926,0.007307086920131,jan-A,-0.0117081623488725,0.0503125
2026-01-12,HDFCBANK.NS,-0.6876,-0.0829,10,9,-0.9206,-0.2015,-0.4242,0.2177,False,-0.38525,0.1038,-0.0122738403373025,-0.041483396948927,jan-A,-0.0094431214076824,-0.2320874999999999
2026-01-12,INFY.NS,-0.4999,-0.2832,8,7,-0.8709,0.1914,-0.6993,0.2299,False,-0.39155,,0.0024437550305937,-0.0065363475547581,jan-A,0.0052744739602138,-0.2383875
2026-01-12,ICICIBANK.NS,0.1103,-0.1132,7,7,-0.7021,0.8063,-0.5142,0.3151,False,-0.00145,0.1498,0.0037506538247071,0.0303317357535088,jan-A,0.0065813727543272,0.1517125
2026-01-12,HINDUNILVR.NS,-0.5915,-0.1132,8,7,-0.8877,0.0446,-0.5079,0.3424,False,-0.35235,,-0.0219017858350836,0.0092697321367059,jan-A,-0.0190710669054635,-0.1991875
2026-01-12,ITC.NS,-0.5498,-0.2064,9,8,-0.8578,0.0894,-0.62,0.2057,False,-0.3781,,-0.0107860333253728,-0.0323134070724698,jan-A,-0.0079553143957527,-0.2249374999999999
2026-01-12,SBIN.NS,0.6097,-0.1658,10,9,0.0033,0.8512,-0.5116,0.1597,False,0.22195,,0.0130029699966256,0.0095470452215742,jan-A,0.0158336889262457,0.3751125
2026-01-12,BHARTIARTL.NS,-0.2619,-0.1408,6,6,-0.8123,0.6313,-0.6044,0.3901,False,-0.20135,,-0.010518590998043,-0.028978622327791,jan-A,-0.0076878720684229,-0.0481875
2026-01-12,KOTAKBANK.NS,0.0143,-0.1174,7,7,-0.7143,0.8055,-0.5464,0.3056,False,-0.05155,0.3762,-0.0132658407479688,-0.0262905408878304,jan-A,-0.0104351218183487,0.1016125
2026-01-12,LT.NS,-0.6346,-0.1276,7,7,-0.9113,0.3849,-0.5419,0.3335,False,-0.3811,0.1448,-0.0381189100554629,-0.0316595228752789,jan-A,-0.0352881911258428,-0.2279375
