window,n,ic_sent,ic_mom,ls_sent,ls_mom
jan-A,48,0.18077514274365294,0.11951801997394704,0.014622640338591307,0.0027019494808081523
jan-B,48,0.13143326658701943,-0.18323925314806774,0.003251963816745462,0.0014636108889897192
feb-A,48,-0.06542157795744404,0.12168910117238384,-0.002341170514621972,0.010649772313866369
feb-B,48,-0.009893466559023987,-0.014980460269214069,0.001937354639404209,-0.009927305615443038
mar-A,48,0.015398333889938822,0.2808293530178029,-0.007143426625250426,0.0034328032463378337
mar-B,48,0.11957380792974695,0.18269648284845852,0.02034546854350432,0.02459272852941818
apr-A,48,-0.11862082753669016,-0.05492835432045158,0.001101390206565878,-0.011110894857318466
apr-B,48,0.1571362662396472,0.012375162831089881,0.008275468250622153,0.00579015991570091
may-A,48,0.01496150172284836,0.1855188884064264,-0.027668575914890827,0.0025010973282374675
may-B,48,0.1765894035463197,-0.03267477203647416,0.007330172446084204,-0.0019471867257878847
jun-A,48,-0.022979865630760574,0.2372991749891446,-0.0017380948732920176,0.00995417542932342
