window,n,ic_sent,ic_mom,ls_sent,ls_mom
jan-A,48,0.06083004335392348,0.11951801997394704,0.003577485381937296,0.00270195743782613
jan-B,48,0.07326157189050676,-0.18323925314806774,-0.002424138942852183,0.0014636145325841888
feb-A,48,0.002825090239976889,0.12168910117238384,-0.001222088935895994,0.010649772313866369
feb-B,34,0.08143621084797555,-0.13521772345301758,0.00028436583353024306,-0.008749002302098963
mar-A,48,0.03489889148086539,0.2808293530178029,0.003599491745024476,0.003432802123235046
mar-B,48,-0.07188757391806665,0.18269648284845852,-0.008248799721973765,0.02459272852941818
apr-A,48,-0.08596294158939738,-0.05492835432045158,0.005338398361174645,-0.011110894857318466
apr-B,48,0.21363364602727616,0.012375162831089881,0.015399253887286581,0.00579015991570091
may-A,48,-0.003242635214958664,0.1855188884064264,-0.009255935646596904,0.0025010844391256445
may-B,48,0.08124513565876358,-0.03267477203647416,0.0003557129530010507,-0.0019471867257878847
jun-A,48,0.0940367712721159,0.2372991749891446,0.001037702038266453,0.00995417542932342
